Inventory Number,Process Number,Section,Image Side,Material,Size,,Mounted,Negative,Conservation Status,Status,,,,,,,,,,,,,,,,,,,,,,,,,
8537,Unpublished,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""A Wizard's Hoard""",3648,"P. Mich. inv. 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, and 603.",Pap,"Groups I and II were rolled up and very brittle, and were separated and flattened out by Mr. Lamacraft of the British Museum. Group III was found with several blank leaves of the same size and the braided cord with which they were originally bound into a codex.","The handwriting of the papyri in group I (P. Mich. inv. 594, 595, 596, 597, 598, 599, 603) is extremely rude and uneven, as though produced by some nearly illiterate person who seldomhad occasion to write. The pen which he used was stiff and inelastic, and fed the ink badly, as though not properly split. The ink was too thick. The writer blotted letters or words, either by accident or because they did not suit him; and in the latter case he often repeated words standing before the blot. The whole performance suggests a negligent paralytic or a very young child. The letters are drawn, not written with the swing of an ordinary writer. For similar hands, cf. P. Mich. inv. 3565, British Museum MS No. 1224 (Catalogue of the Coptic Manuscripts in the British Museum (1905), Plate XII); a third is published by Crum(Receuil d' Études dédiées a la mémoire de Jean François Champollion (1922), Plate VII).","The handwriting of group II (P. Mich. inv. 600, 601, and 602)  is not entirely unpracticed, though not a book-hand. It varies in size, according to the available space, and tends to sprawl.",unknown,unknown,"February 1921; Acquired by Sir Budge; Notes by Crum, 1921",Coptic,literary, magic,unknown,a collection of magical texts,"Internally, the collection falls in three parts:","A. a magical text, represented by 593, and duplicated by nos. 599, 594, 603, and 596, in the order named;","B. Another magical text, or series of texts, represented by nos. 600, 601, and 602, duplicated in part by nos. 597 and 598.","C. A third magical text, represented by no. 595, possibly a part of B, and resembling slightly in phraseology the Michigan papyrus no. 594a.",,TC,,,,,,,,,,,,,,,
7079,18257,obverse,Lead,1,"Unknown lead tablet. Was labeled as ""Unknown"". RTI imaging on 3/21/2013.",Unpublished,Ann Arbor,AH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv.  22188,16739,Recto-verso,Verso,WT,7 x 12.4 cm,1,No,No,Broken off. The wax is gone or damaged. Many incisions both on the wax side and the back wooden side,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I102C-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22188,16739,Recto-verso,Recto,WT,7 x 12.4 cm,1,No,No,Broken off. The wax is gone or damaged. Many incisions both on the wax side and the back wooden side,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I102C-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22189,16735,Recto-verso,Verso,WT,3.6 x 10 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-WI,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22189,16735,Recto-verso,Recto,WT,3.6 x 10 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-WI,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22190,16736,Recto-verso,Verso,WT,2 x 10.5 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I110-K,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv.  22190,16736,Recto-verso,Recto,WT,2 x 10.5 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I110-K,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv.  23394,16737,Recto-verso,Verso,WT,3.8 x13 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  23394,16737,Recto-verso,Recto,WT,3.8 x13 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  29971,16740,Recto-Verso,Verso,Wood,38.6 x 13 cm,1,recto: 9 lines, verso: 10 lines,No,No,Complete. 3 holes in the border.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29971,16740,Recto-Verso,Recto,Wood,38.6 x 13 cm,1,recto: 9 lines, verso: 10 lines,No,No,Complete. 3 holes in the border.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29973,16744,Recto-Verso,Verso,Wood,55.5 x 7.5 cm,1,recto: 6 lines, verso: c.10 lines,No,No,"Complete, except some points in the bottom and the top. Drawings of women and a painting.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29973,16744,Recto-Verso,Recto,Wood,55.5 x 7.5 cm,1,recto: 6 lines, verso: c.10 lines,No,No,"Complete, except some points in the bottom and the top. Drawings of women and a painting.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  67.1.55,3526,Recto,Recto,Recto, Verso is blank,Paper,6.9 x 11.6 cm,1,1-8,No,"Obviously the paper was folded at least 6 times. A cut being in the end of the text could be restored. There are 3 spots are darker, which could be as a result of some oil or any other liquid was dropped on these parts. (MA)",published,Ann Arbor,"16 February, 929 A.D. to 13 March, 930 A.D.",Unknown,Unknown,Arabic,Documentray,Receipt for kharáj,"Receipt for kharáj paid by ibn Kanbás himself and on behalf of Biqtur ibn M®ná, the oil dealer, amount of 11 washed dr.",[       ] ibn (Kanbás) ,Biqtur ibn M®ná,Banudáh ibn R . . k. . ,,MA,929,930,,,,,,,,
Kelsey inv. . 29976,16742,Recto-Verso,Verso,Wood,56 x 7.5 cm,1,recto: 5 lines, verso: 4 lines,No,No,"Complete, except some points in the bottom.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv. . 29976,16742,Recto-Verso,Recto,Wood,56 x 7.5 cm,1,recto: 5 lines, verso: 4 lines,No,No,"Complete, except some points in the bottom.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv. 22181,16707,front-back,Verso,WT,3.3. x 14.1cm,1,No,Yes,"Broken off at the right-hand side. There are four  binding holes. Few incisions, large letters?",Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-PI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 22181,16707,front-back,Recto,WT,3.3. x 14.1cm,1,No,Yes,"Broken off at the right-hand side. There are four  binding holes. Few incisions, large letters?",Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-PI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 22182,16709,front-back,Verso,WT,2.3 x 13.7 cm,1,No,Yes,Broken off at the right-hand side. There are four  binding holes. Few incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-PI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 22182,16709,front-back,Recto,WT,2.3 x 13.7 cm,1,No,Yes,Broken off at the right-hand side. There are four  binding holes. Few incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",25-5048-PI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 22185,16711,front-back,Verso,WT,6.8 x 8.2 cm,1,No,Yes,Complete. There are four  binding holes. Many incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",226-B16F-T,Greek,Documentary,Unknown,"The inv. no  is given as 22185a and b (which means two fragments), but there is only one item (not broken).",NL,1,299,,,,,,,,,,,,,
Kelsey inv. 22185,16711,front-back,Recto,WT,6.8 x 8.2 cm,1,No,Yes,Complete. There are four  binding holes. Many incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",226-B16F-T,Greek,Documentary,Unknown,"The inv. no  is given as 22185a and b (which means two fragments), but there is only one item (not broken).",NL,1,299,,,,,,,,,,,,,
Kelsey inv. 22186,16715,front-back,Verso,WT,5.5 x 12.1 cm,1,No,Yes,Complete. There are four  binding holes. No preserved incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",27-C55E-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 22186,16715,front-back,Recto,WT,5.5 x 12.1 cm,1,No,Yes,Complete. There are four  binding holes. No preserved incisions.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",27-C55E-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 22187,16718,front-back,Verso,WT,14.6 x 21.6 cm,1,No,Yes,Complete. There are four  binding holes.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",27-C55E-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 22187,16718,front-back,Recto,WT,14.6 x 21.6 cm,1,No,Yes,Complete. There are four  binding holes.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",27-C55E-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv. 23452,16623,front,Recto,Limestone,5.5 x 9.6 cm,1,3 lines,No,Yes,"Stele-shaped label with piercing at the top, inscribed on one side with three lines of Demotic, first engraved then traced with black ink.",Published,Ann Arbor,(end) Ist century B.C. - (early) I century A.D.,"Dendera, lower Thebaid, Upper Egypt, province of Egypt","Dendera, lower Thebaid, Upper Egypt, province of Egypt",1924/1925: purchased by Prof. Boak in Egypt,Demotic,Documentary,Unknown,Mummy label,T3-šr(.t)-p3-'hm t3j P3-šr-dhwtj,Osiris Senpachumis daughter of Psenthotes,,"S. P. Vleeming, Demotic and Greek-Demotic Mummy Labels and Related Short Texts Gathered from Many Publications, SD (forthcoming) [= ST ii 373]",NL,-25,50,,,,,,,,
Kelsey inv. 23987,16738,Recto-Verso,Verso,WT,7 x 11 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-XI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 23987,16738,Recto-Verso,Recto,WT,7 x 11 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-XI,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv. 29734,18034,recto-verso,Recto,Paper,12 x 10 cm and 8 x 10 cm,2,"2 fragments of illustration; black, red, orange, and blue; verso blank",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,Unknown,Arabic,Documentary,illustration of peacock profile,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,,
Kelsey inv. 29933,18035,recto,Recto,Pap,12 x 10.5 cm,1,12 lines,"fragile, folds, delaminated fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,Unknown,Arabic,Coptic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29946,18036,recto-verso,Verso,Paper,5 x 15 cm,1,"recto 10 lines, verso 11 lines","fragile, folds, delaminated fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,,
Kelsey inv. 29946,18036,recto-verso,Recto,Paper,5 x 15 cm,1,"recto 10 lines, verso 11 lines","fragile, folds, delaminated fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,,
Kelsey inv. 29947,4219,recto-verso,Verso,under research, contact institution,Pap,14 x 14.5 cm,1,"recto 11 lines, verso 10 lines",Assigned,Ann Arbor,VIIIth-XIth century A.D.,Unknown,Unknown,Arabic,Documentary,letter conveying family news,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 29947,4219,recto-verso,Recto,under research, contact institution,Pap,14 x 14.5 cm,1,"recto 11 lines, verso 10 lines",Assigned,Ann Arbor,VIIIth-XIth century A.D.,Unknown,Unknown,Arabic,Documentary,letter conveying family news,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 29949,18037,recto-verso,Verso,Pap,fr. 1: 13 x 18 cm, fr. 2: 5 x 7.5 cm,2,"fr. 1: recto 13 (across) and 2 along right margin, verso 13 (along) and 1 along right margin; fr. 2: recto 8 lines (across), verso 7 lines (along)","fragile, folds, delaminated fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 15, 1933",Arabic,Documentary,first fragment is of private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,
Kelsey inv. 29949,18037,recto-verso,Recto,Pap,fr. 1: 13 x 18 cm, fr. 2: 5 x 7.5 cm,2,"fr. 1: recto 13 (across) and 2 along right margin, verso 13 (along) and 1 along right margin; fr. 2: recto 8 lines (across), verso 7 lines (along)","fragile, folds, delaminated fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 15, 1933",Arabic,Documentary,first fragment is of private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,
Kelsey inv. 29950,18038,recto-verso,Verso,Pap,20.5 x 15 cm,1,"recto 9 lines (across), verso 12 lines (across) 90 degrees to writing on recto","fragile, folds, dirt, gesso remains",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard, March 21, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29950,18038,recto-verso,Recto,Pap,20.5 x 15 cm,1,"recto 9 lines (across), verso 12 lines (across) 90 degrees to writing on recto","fragile, folds, dirt, gesso remains",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard, March 21, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29951,18039,recto,Recto,Pap,20.5 x 23 cm,1,"recto 19 lines (across) and 1 line down right margin, top 1 1/2 lines are upside down; verso blank","very fragile, missing pith",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 21, 1933",Arabic,Documentary,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,
Kelsey inv. 29952,18040,recto-verso,Verso,Pap,20.5 x 23 cm,1,"recto 7 lines (across), verso 6 lines (along)","very fragile, folds, dirt, delaminted fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 21, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29952,18040,recto-verso,Recto,Pap,20.5 x 23 cm,1,"recto 7 lines (across), verso 6 lines (along)","very fragile, folds, dirt, delaminted fibers",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 21, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29953,18041,recto-verso,Verso,Pap,16 x 8.5 cm,1,"recto 7 lines (across), verso 1 line (along)","dirt, breaking along folds, accretions on verso",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 21, 1933",Arabic,Documentary,fragment private letter with address on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,
Kelsey inv. 29953,18041,recto-verso,Recto,Pap,16 x 8.5 cm,1,"recto 7 lines (across), verso 1 line (along)","dirt, breaking along folds, accretions on verso",Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought from Blanchard March 21, 1933",Arabic,Documentary,fragment private letter with address on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,
Kelsey inv. 29954,18042,recto-verso,Verso,Pap,26.5 x 13.5 cm,1,"recto 4 lines (across), verso 8 lines (along)",minor folds along edges,Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought in Cairo Sept 7, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29954,18042,recto-verso,Recto,Pap,26.5 x 13.5 cm,1,"recto 4 lines (across), verso 8 lines (along)",minor folds along edges,Unpublished,Ann Arbor,VIIIth-Xth century A.D.,Unknown,"Unknown, said to have come from site of Fustat;","bought in Cairo Sept 7, 1933",Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,999,,,,,,,,,,,,,,
Kelsey inv. 29955,4220,a, recto-verso,Verso,under research, contact institution,Pap,16.5 x 24.5 cm,1,"recto 7 lines (across), verso 11 lines (along)","fragile, dirt, folds",Assigned,Ann Arbor,VIIIth-XIth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,
Kelsey inv. 29955,4220,a, recto-verso,Recto,under research, contact institution,Pap,16.5 x 24.5 cm,1,"recto 7 lines (across), verso 11 lines (along)","fragile, dirt, folds",Assigned,Ann Arbor,VIIIth-XIth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter on verso,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,
Kelsey inv. 29955,18032,b, recto-verso,Verso,under research, contact institution,Pap,13.5 x 9.5 cm,1,"recto 7 lines (across), verso 6 lines (along)","fragile, dirt, folds",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,"bought in Cairo Sept 7, 1933",Arabic,Documentary,recto is legal document,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 29955,18032,b, recto-verso,Recto,under research, contact institution,Pap,13.5 x 9.5 cm,1,"recto 7 lines (across), verso 6 lines (along)","fragile, dirt, folds",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,"bought in Cairo Sept 7, 1933",Arabic,Documentary,recto is legal document,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,
Kelsey inv. 29956,18033,recto-verso,Verso,Pap,1,"11 fragments, only one with writing--Greek",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,"bought in Cairo Oct 21, 1933",Greek,Documentary,supposedly from Fustat,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 29956,18033,recto-verso,Recto,Pap,1,"11 fragments, only one with writing--Greek",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,"bought in Cairo Oct 21, 1933",Greek,Documentary,supposedly from Fustat,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,,
